Duration,Pulse,Maxpulse,Calories,weight
60,110,130,409.1,50
60,117,145,479,60
60,103,135,340,70
45,109,175,282.4,80
45,117,148,406,90
60,102,127,300.5,30
60,110,136,374,40
45,104,134,253.3,50
30,109,133,195.1,
60,98,124,269,
60,103,147,329.3,50
60,100,120,250.7,60
60,106,128,345.3,70
60,104,132,379.3,80
60,98,123,275,
60,98,120,215.2,
60,100,120,300,90
45,90,112,,30
60,103,123,323,40
45,97,125,243,50
60,108,131,364.2,
45,100,119,282,
60,130,101,300,
45,105,132,246,50
60,102,126,334.5,60
60,100,120,250,70
60,92,118,241,80
60,103,132,,90
60,100,132,280,30
60,102,129,380.3,40
60,92,115,243,50
45,90,112,180.1,
60,101,124,299,
60,93,113,223,90
60,107,136,361,30
60,114,140,415,40
60,102,127,300.5,50
60,100,120,300.1,
60,100,120,300,90
45,104,129,266,30
45,90,112,180.1,40
60,98,126,286,50
60,100,122,329.4,
60,111,138,400,
60,111,131,397,90
60,99,119,273,30
60,109,153,387.6,40
45,111,136,300,50
45,108,129,298,80
60,111,139,397.6,80
60,107,136,380.2,80
80,123,146,643.1,80
60,106,130,263,80
60,118,151,486,80
30,136,175,238,90
60,121,146,450.7,30
60,118,121,413,40
45,115,144,305,50
20,153,172,226.4,20
45,123,152,321,20
210,108,160,1376,20
160,110,137,1034.4,30
160,109,135,853,40
45,118,141,341,50
20,110,130,131.4,10
180,90,130,800.4,10
150,105,135,873.4,90
150,107,130,816,30
20,106,136,110.4,40
300,108,143,1500.2,50
150,97,129,1115,
60,109,153,387.6,
90,100,127,700,90
150,97,127,953.2,30
45,114,146,304,40
90,98,125,563.2,50
45,105,134,251,40
45,110,141,300,40
120,100,130,500.4,40
270,100,131,1729,90
30,159,182,319.2,30
45,149,169,344,40
30,103,139,151.1,50
120,100,130,500,20
45,100,120,225.3,20
30,151,170,300.1,90
45,102,136,234,90
120,100,157,1000.1,90
45,129,103,242,90
20,83,107,50.3,90
180,101,127,600.1,90
45,107,137,,90
30,90,107,105.3,90
15,80,100,50.5,90
20,150,171,127.4,30
20,151,168,229.4,40
30,95,128,128.2,50
25,152,168,244.2,50
30,109,131,188.2,50
90,93,124,604.1,50
20,95,112,77.7,50
90,90,110,500,50
90,90,100,500,50
90,90,100,500.4,50
30,92,108,92.7,50
30,93,128,124,50
180,90,120,800.3,50
30,90,120,86.2,90
90,90,120,500.3,30
210,137,184,1860.4,40
60,102,124,325.2,50
45,107,124,275,
15,124,139,124.2,
45,100,120,225.3,
60,108,131,367.6,95
60,108,151,351.7,95
60,116,141,443,95
60,97,122,277.4,95
60,105,125,,95
60,103,124,332.7,95
30,112,137,193.9,95
45,100,120,100.7,95
60,119,169,336.7,95
60,107,127,344.9,95
60,111,151,368.5,95
60,98,122,271,95
60,97,124,275.3,95
60,109,127,382,95
90,99,125,466.4,95
60,114,151,384,95
60,104,134,342.5,95
60,107,138,357.5,95
60,103,133,335,95
60,106,132,327.5,95
60,103,136,339,35
20,136,156,189,35
45,117,143,317.7,35
45,115,137,318,35
45,113,138,308,35
20,141,162,222.4,85
60,108,135,390,85
60,97,127,,85
45,100,120,250.4,85
45,122,149,335.4,85
60,136,170,470.2,85
45,106,126,270.8,85
60,107,136,400,85
60,112,146,361.9,85
30,103,127,185,85
60,110,150,409.4,85
60,106,134,343,85
60,109,129,353.2,85
60,109,138,374,85
30,150,167,275.8,85
60,105,128,328,85
60,111,151,368.5,67
60,97,131,270.4,67
60,100,120,270.4,67
60,114,150,382.8,67
30,80,120,240.9,67
30,85,120,250.4,67
45,90,130,260.4,67
45,95,130,270,67
45,100,140,280.9,67
60,105,140,290.8,99
60,110,145,300.4,69
60,115,145,310.2,69
75,120,150,320.4,69
75,125,150,330.4,88
